City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,Rocha,UY,2023-02-20 21:46:14,-34.4833,-54.3333,69.35,61,50,11.25
131,Varhaug,NO,2023-02-20 21:46:14,58.6147,5.6457,44.47,77,100,29.73
132,Camajuani,CU,2023-02-20 21:47:15,22.4833,-79.75,82.54,57,40,13.8
133,Nanortalik,GL,2023-02-20 21:47:15,60.1432,-45.2371,9.9,76,34,8.34
134,Enterprise,US,2023-02-20 21:46:08,36.0252,-115.2419,69.1,18,20,8.05
135,Adrar,MR,2023-02-20 21:47:16,20.5022,-10.0711,77.04,12,73,9.08
136,Arlit,NE,2023-02-20 21:47:16,18.7369,7.3853,68.77,16,4,7.94
137,Camopi,GF,2023-02-20 21:47:17,3.1655,-52.3158,72.59,98,94,3.04
138,Gogrial,SS,2023-02-20 21:47:17,8.5332,28.1004,80.98,25,83,4.25
139,Dekar,BW,2023-02-20 21:47:18,-21.5333,21.9333,75.16,38,100,6.51
140,Itarema,BR,2023-02-20 21:47:18,-2.9248,-39.9167,79.9,79,63,14.05
141,Surgut,RU,2023-02-20 21:43:11,61.25,73.4167,-6.92,83,20,4.47
142,Andijon,UZ,2023-02-20 21:47:19,40.7821,72.3442,42.08,61,100,4.32
143,Torata,PE,2023-02-20 21:47:19,-17.0769,-70.8433,61.88,78,93,7.45
144,Lipari,IT,2023-02-20 21:47:20,38.4674,14.954,50.32,67,4,2.04
145,Kangaatsiaq,GL,2023-02-20 21:47:20,68.3065,-53.4641,-12.53,95,23,8.55
146,Rio Tercero,AR,2023-02-20 21:47:21,-32.173,-64.1141,79.81,23,81,10.74
147,Saratovskaya,RU,2023-02-20 21:47:21,44.7103,39.2244,31.82,73,10,9.26
148,Dudinka,RU,2023-02-20 21:47:22,69.4058,86.1778,1.62,96,100,9.64
149,Navahrudak,BY,2023-02-20 21:47:22,53.6,25.8333,37.42,78,100,25.84
150,Chuy,UY,2023-02-20 21:47:23,-33.6971,-53.4616,69.85,71,100,10.69
151,Bubaque,GW,2023-02-20 21:47:23,11.2833,-15.8333,74.71,82,30,18.97
152,Rio Gallegos,AR,2023-02-20 21:47:23,-51.6226,-69.2181,69.85,37,0,20.71
153,Cutro,IT,2023-02-20 21:47:24,39.0353,16.9819,50.65,80,3,2.46
154,Vardo,NO,2023-02-20 21:47:24,70.3705,31.1107,15.78,79,100,8.05
155,Patitirion,GR,2023-02-20 21:47:25,39.15,23.8667,55.38,67,1,15.12
156,Ninotsminda,GE,2023-02-20 21:47:25,41.2646,43.5916,23.74,95,100,4.88
157,Santiago Del Estero,AR,2023-02-20 21:47:26,-27.7951,-64.2615,86.77,27,54,6.96
158,Korla,CN,2023-02-20 21:47:26,41.7597,86.1469,32.18,76,52,0.51
159,Strezhevoy,RU,2023-02-20 21:47:27,60.7333,77.5889,-13.13,100,100,5.37
160,Igarka,RU,2023-02-20 21:47:27,67.4667,86.5833,5.14,93,100,7.56
161,Marawi,PH,2023-02-20 21:47:28,7.9986,124.2928,68.54,93,97,1.88
162,Silivri,TR,2023-02-20 21:47:28,41.0802,28.226,41.92,87,4,4.09
163,Paamiut,GL,2023-02-20 21:47:28,61.994,-49.6678,4.71,75,57,15.1
164,Kudahuvadhoo,MV,2023-02-20 21:47:29,2.6708,72.8944,80.2,79,43,11.23
165,San Juan,AR,2023-02-20 21:45:54,-31.5375,-68.5364,88.66,16,5,10.18
166,Kilindoni,TZ,2023-02-20 21:47:30,-7.9139,39.6668,80.58,75,83,9.69
167,Santa Rosa,PH,2023-02-20 21:47:07,14.3122,121.1114,77.09,90,98,7.78
168,Menongue,AO,2023-02-20 21:47:31,-14.6585,17.691,65.55,74,90,4.65
169,Punta Cardon,VE,2023-02-20 21:47:31,11.6581,-70.215,77.92,66,0,24.94
170,Uthal,PK,2023-02-20 21:47:31,25.8072,66.6219,70.2,80,34,3.33
171,Seydisehir,TR,2023-02-20 21:47:32,37.4193,31.8453,35.22,97,80,1.95
172,Piet Retief,ZA,2023-02-20 21:47:32,-27.0071,30.8132,62.8,78,18,5.55
173,Tromso,NO,2023-02-20 21:47:33,69.6496,18.957,23.02,74,0,3.44
174,Belmonte,BR,2023-02-20 21:47:33,-15.8631,-38.8828,77.31,82,99,4.21
175,Moroto,UG,2023-02-20 21:47:34,2.5345,34.6666,69.46,40,60,6.17
176,Kutum,SD,2023-02-20 21:47:34,14.2,24.6667,63.37,19,81,10.02
177,Saint-Augustin,CA,2023-02-20 21:47:35,51.226,-58.6502,32.88,98,100,17.98
178,Vasai,IN,2023-02-20 21:47:35,19.47,72.8,77.09,54,0,4.63
179,Lima,PE,2023-02-20 21:46:05,-12.0432,-77.0282,75.45,73,40,13.8
180,Manali,IN,2023-02-20 21:48:36,13.1667,80.2667,78.08,81,21,5.06
181,Phalia,PK,2023-02-20 21:48:36,32.4297,73.5775,60.4,55,0,7.29
182,Puerto Rico,AR,2023-02-20 21:48:36,-26.796,-55.024,77.94,50,32,4.85
183,Bilma,NE,2023-02-20 21:48:37,18.6853,12.9164,67.57,18,0,8.41
184,Urk,NL,2023-02-20 21:48:37,52.6625,5.6014,48.97,93,87,15.93
185,Monopoli,IT,2023-02-20 21:48:38,40.9559,17.2896,54.72,83,43,6.58
186,Chaman,PK,2023-02-20 21:48:38,30.9236,66.4512,49.48,37,0,1.45
187,Sawakin,SD,2023-02-20 21:48:38,19.1059,37.3321,74.37,83,86,12.44
188,Paramonga,PE,2023-02-20 21:48:39,-10.6667,-77.8333,76.08,83,91,7.18
189,Thul,PK,2023-02-20 21:48:39,28.2403,68.7759,70.7,16,1,9.33
190,Thunder Bay,CA,2023-02-20 21:48:40,48.4001,-89.3168,15.78,79,100,14.97
191,Xambioa,BR,2023-02-20 21:48:40,-6.4111,-48.5364,72.55,94,97,1.68
192,Nsanje,MW,2023-02-20 21:48:40,-16.92,35.262,78.28,80,54,2.82
193,Torres Novas,PT,2023-02-20 21:48:41,39.4811,-8.5395,57.42,84,100,3.83
194,Naryan-Mar,RU,2023-02-20 21:48:41,67.6713,53.087,-10.77,100,72,3.91
195,Atasu,KZ,2023-02-20 21:48:41,48.6814,71.6433,28.51,90,100,12.8
196,Sao Joao Da Barra,BR,2023-02-20 21:48:42,-21.6403,-41.0511,82.49,87,0,10.38
197,Santa Maria,BR,2023-02-20 21:48:42,-29.6842,-53.8069,76.3,65,20,9.22
198,Khandbari,NP,2023-02-20 21:48:43,27.3747,87.2039,58.23,72,56,1.7
199,Mutoko,ZW,2023-02-20 21:48:43,-17.397,32.2268,63.95,74,100,2.55
200,Mamallapuram,IN,2023-02-20 21:48:44,12.6264,80.1722,78.06,65,51,1.12
201,Skjervoy,NO,2023-02-20 21:48:44,70.0311,20.9714,17.6,64,66,10.8
202,Oum Hadjer,TD,2023-02-20 21:48:44,13.2954,19.6966,75.38,12,2,12.12
203,Lapua,FI,2023-02-20 21:48:45,62.9693,23.0088,21.11,91,100,6.58
204,Kulhudhuffushi,MV,2023-02-20 21:48:45,6.6221,73.07,80.28,73,33,7.49
